name,city,state,description,type
Nightmute High School,Nightmute,AK,There is said that there is a little girl roaming and haunting the whole school. Staff members and students have seen and heard her. She would sometimes hum  appear in both the boys and girls bathrooms  turns lights off and on  and bounce a basketball. No one really knows how she died but it is said that there is a grave under the classroom 106  and she is mostly in that classroom.,Ghost
NANA Museum,Kotzebue,AK,"During the spring season there is a giant puddle under the museum from all the melted snow. A young boy named Alex was playing with a basketball near the museum. His ball went under the building. When he tried to get the ball  he slipped under the building and couldn't get out. He drowned in the water. People say if you bring a basketball into the auditorium  leave it on the floor and say  ""Alex  come get your ball!"" you will hear the ball start bouncing.",Ghost
Kenai Cemetery,Kenai,AK,There are several spirits here. One is an older  heavyset woman who goes by the name Marie. There is also an older gentleman by the name of Arthur Johnson. He has been spotted maintaining his gravesite  plus the graves of others who are buried there. In the back part of the cemetery are several unmarked graves that contain the remains of servants brought up here to help dig for gold. But when the gold ran dry  it was too expensive to feed them  so they were killed and buried in graves outside the main cemetery.,Ghost
Local Cemetery,Kenai,AK,There is often an old man who is transparent  attempting to maintain his own gravesite  as well as others.,Ghost
Bailey Furniture Store,Soldotna,AK,The furniture store used to be a grocery store  and the owner of that store was murdered. The killer was never found. It's said that the man still haunts the place  and sometimes furniture breaks for no reason. Also  there are unusual sounds heard from the back office.,Ghost
Courtyard by Marriot,Anchorage,AK,Room 201 - This room is haunted by a man who died there  and whose body was not found for several days  according to the staff. Also  there is a ghost by the name of Ken who wanders the parking lot and courtyard  in and around the gazebo. There is also what appears to be a cat walking around the hotel. It's very evident in rooms 103 and 107.,Ghost
West High School,Anchorage,AK,It is said that in the basement auditorium and in the area where it links to the Middle School  there are restless creatures that are only semi-human in the area. They take out their anger on a lot of students and young teachers. Rumor has it that West High and its neighborhood were once an elusive  swampy forest area and the creatures hate how their land has become so polluted and contaminated.,Ghost
Historic Anchorage Hotel,Anchorage,AK,Anchorage’s oldest hotel is haunted by many things. Several guests have reported seeing a young girl walk the second floor hall. In rooms 215 and 217  the television will turn on and off at will. Also  the water in the tub and sink will run by itself. Employees have reported hearing people coming down the stairs when the hotel is empty  and few have seen a man walk past the stairs.,Ghost
The Little Karaoke Place,Anchorage,AK,The Korean owner of this place was killed by Chinese weightlifters in 1999. The owner's spirit is sometimes seen peeking out the window.,Ghost
Dimond Center,Anchorage,AK,It is said that when the Dimond center was first built  the grounds under it were sacred burial grounds from thousands of years ago  dating back to when natives first roamed the lands. While digging up the grounds to build the mall  workers came across a few graves  but due the fact they were so old and small  they continued digging. Now the ghosts roam the areas and usually appear in front of lone people in the bathrooms  and smaller hallways in the mall.,Ghost
Tonseno Lodge,Capper Center,AL,A man was killed in the hotel  and now he's haunting it. His ghost has been sited several times by many people. The hotel has since been closed down.,Ghost
Court House,Boulder,AL,It's been rumored that ghosts have been sighted walking around the courthouse grounds at night. These ghosts are said to have been the hanging victims of the death sentences carried out in the 1800's.,Ghost
Seven Hills Cemetery,Mobile,AL,The apparition of a woman can be seen hanging on a cross.,Ghost
Bayou La Batre Jail,Bayou La Batre,AL,"Late at night while everyone is quiet and still  a ghostly figure can be seen leaving the cell in the middle of the jail. Also  you can hear the toilet flushing  even though no one is ever in that cell. The legend has it that the cell served as a ""drunk tank"" and the cops hung a man there in the early 1980s.",Ghost
Covered Bridge,Livingston,AL,A figure can be seen standing in the windows  as well as strangeness related to cold feelings and a black and white cat.,Ghost
University of South Alabama,Mobile,AL,The Seaman's Bethel Chapel Theater - The Seaman's Bethel Chapel Theater - The basement is haunted by the ghost of a small child who plays in the costume shop. The ghost of a seaman in a captain's coat haunts the fly loft.,Ghost
Mobile Christian School,Mobile,AL,Students and coaches have heard people playing basketball in the gym. Games from the football field being announced when no game is taking place.,Ghost
Oak Next to Public Library,Mobile,AL,Within close range of the huge oak tree  crying and whispering can be heard.,Ghost
Mill Bridge,Camax,AL,This is a very old bridge with one lane and steel overhead  located on the Country Club road north of Jasper  Al. It has been haunted by the ghost of Moon Mullins for years. She died on the bridge under strange circumstances over 75 years ago. Since her death  several people over the years have reported hearing strange noises and seeing apparitions on the bridge  as well as the nearby Black Water Creek banks.,Ghost
Shell Mounds,Dauphin Island,AL,In the depths of Shell Mounds  there is a clear circle surrounded by trees. This circle was the ceremony pit for the natives that are buried in this Indian Cemetery. On well-lit nights  you can see the female natives dancing to the sounds of their instruments.,Ghost
Westmark Hotel,Fairbanks,AR,Room 277 - There is a ghost of what is probably a large man. The ghost was active mostly at night. He has been known to push lightly on the bed and poke people on the shoulder. One person had heard something on the floor  like a person running his finger along the carpet. There were other small noises that could not be explained. There was no one staying in the next room that could have made any sounds either.,Ghost
Judge Parker Court House,Fort Smith,AR,Judge Isaac Parker  who hanged around 80 people here  haunts the courthouse (that is now a museum). The people he hanged also haunt the courthouse. You can sometimes see the ropes at the gallows sway back and fourth with no wind. Also  you can hear the banging of Parkers gavel in the courthouse.,Ghost
Fort Smith,Sebastian,AR,William O. Darby Jr. High School - The staircase in the old part of the building between the third and second floor is haunted by a student that choked to death in the 1960's or 70's. Also  the attic is haunted by a janitor that had a heart attack while peeking through the peephole  watching the cheerleaders. They say you can hear him call out from the balcony of the auditorium  if you are in there alone. Also  the practice field was once a cemetery  and it was stated that even though all remains have been removed  that some of the unmarked graves still remain. On foggy nights  you can see these ghostly figures  looking for the other graves that were marked.,Ghost
King Opera House Theatre,Van Buren,AR,Things have been heard and seen by actors and maintenance workers during the running of plays.,Ghost
Highway 220 at Dry Hill Road,North of Cedarville,AR,At the top of the mountain at Dry Hill Rd. going north on Highway 220  off the to the left side of the road is part of the old Butterfield Stage Coach Rd. Hunters have always reported the sound of someone whistling a strange tune. When they search the surrounding area to make sure it's not a joke from someone  it always stops when you step onto the Old Stage Coach Road. When the whistling stops  you can hear a team of horses running  as if the old stagecoach is making another run.,Ghost
Avon Cemetery,DeQueen,AR,If you drop a rock in the well at the middle of the cemetery at night  you can hear a baby cry. It has been said that you can even see and hear the baby’s mother running through the graveyard  near the old burned down church. The story is told of a woman who was near the well drawing out water  before it was a graveyard. She sat the child on the edge of the well  and the baby fell in and drowned.,Ghost
Peel Museum,Bentonville,AR,Haunted by the former owner  the museum  open to the public  has light poltergeists and corner of the eye apparitions.,Ghost
Rich Mountain,Mena,AR,The ghost light of a young girl that died trying to take care of her family is seen. She is said to wander the mountain with a lantern  looking for her family's cabin. She is actually buried in Old Pioneer Cemetery on the mountain. She has been seen by local folks for many years.,Ghost
Old High Middle School,Bentonville,AR,There was a little girl seen walking down the hall without a hall pass  so this boy went and told the principal. He went and inspected the hall  and the little girl was skipping down the hall  running her finger against the lockers. It was found out that this same girl was hung by her friend in the year 1950. The sighting occurred in 2005.,Ghost
Gravel Ridge Pet Cemetery,Gravel Ridge,AR,Supposedly  if you go there late at night you can see apparitions of the dead animals that were buried there. You can also hear their howling cries come and go in the night.,Ghost
Yuma County,Yuma,AZ,Hotel Lee - At least three spirits have been seen by guests and employees of the Hotel Lee. One ghost is of a young teenage girl  usually seen late in the evening  carrying towels down the back hall. The other is believed to be the original owner of the hotel. She is seen walking the halls late at night  and has been known to knock on  or rattle the doors of the rooms. The third spirit is that of an Indian woman  believed to pre-date the hotel. She has been seen hovering above the guest’s beds  and is known to take small screwdrivers and awls  later to return them to odd places.,Ghost
Mary Elizabeth Post Elementary School,Yuma,AZ,Students often hear and see visions of Mary Post  as she haunts the school. There is also a picture of Mary above the exit doors  and sometimes when you walk out  her eyes will follow.,Ghost
Yuma Territorial Prison State Historic Park,Yuma,AZ,There are two predominate places within the prison where the spirits are active. One is the dark cell and the other is the visitors' museum. The dark cell hosts a ghost that likes to pinch. It is attracted to children and the color red. There are supposedly two spirits in the visitors' museum. One is a woman who sings quite early in the morning  and the other is a poltergeist that likes to play with money. He's attracted to dimes.,Ghost
City Hall,Bullhead City,AZ,Believed to be a passing for frontiers  many say the grounds are haunted. City Hall now stands in the haunted area.,Ghost
Oatman Hotel,Oatman,AZ,Room 15 - Many guests and staff testify that it is not uncommon to hear whispering and laughter coming from this empty room. There is also a Theatre Room Museum on the second floor  where dust on the beds reveals the outlines of sleeping guests  leaving adjacent areas intact and undisturbed. A former chambermaid's ghost has also been sighted.,Ghost
Brunswick Hotel,Kingman,AZ,Noises in Hallway  items being moved. Whispered voices. On our Visit  a member of our party used the  downstairs mens restroom  he walked forward into the first stall  when he tried to come out the trash can had been moved in front of the stall door.. he was the only person in the room  and up until that point not a believer of the paranormal.,Ghost
